name;address;nature;nightlife;drink;music;dance;history;sports;art;museum;walk;restaurant;movie
Le Carillon;18 rue Alibert;;;1;;;;;;;;;
Le Passy;2 rue de Passy;;;1;;;;;;;;;
Le Piment;15 rue de Sévigné;;;1;;;;;;;;;
Place du Marché Saint-Honoré;Place du Marché Saint-Honoré;;;;;;;;;;1;;
Patrick's;33 Rue de Montreuil;;;1;;;;1;;;;;
La Lucha Libre;10 rue de la Montagne Saint-Geneviève;;;1;;;;1;;;;;
UFO Bar;49 rue Jean-Pierre Timbaud;;;1;;;;;;;;;
Place du Palais Royal;Place du Palais Royal;;;;;;;;;;1;;
Radisson Blu Le Metropolian Hotel;10 place de Mexico;;;1;;;;;;;;;
UGC George V;146 Avenue des Champs-Élysées;;;;;;;;;;;;1
The Irish Corner;26 Pl. de la Nation;;;1;;;;;;;;;
Le Saint Hilaire;2 rue Valette;;;1;;;;;;;;;
Place des Abbesses;Place des Abbesses;;;;;;;;;;1;;
Le Zinc Café;32 rue des Moines;;;1;;;;;;;;;
Falstaff;42 Rue du Montparnasse;;;1;;;;;;;;1;
Le Vrai Paris;37 Rue des Abbesses;;;1;;;;;;;;;
Experimental Cocktail Club;37 Rue Saint-Sauveur;;1;1;;;;;;;;;
UGC Danton;99 Boulevard Saint-Germain;;;;;;;;;;;;1
Le Kitch;10 Rue Oberkampf;;;1;;;;;;;;;
O'Sullivans café bar;1 Boulevard Montmartre;;;1;;;;;;;;1;
Curio Parlor;16 rue des Bernardins;;1;1;;;;;;;;;
VIP Room;188 Rue de Rivoli;;1;1;1;1;;;;;;;
Prescription Cocktail Club;23 rue Mazarine;;1;1;;;;;;;;;
Squash Montmartre;14 rue Achille Martinet;;;;;;;1;;;;;
Le Cox;15 Rue des Archives;;1;1;;;;;;;;;
Le Saint Jean;Place des Abbesses;;;1;;;;;;;;;
La Cigale;120 Boulevard de Rochechouart;;1;;1;;;;;;;;
Place de l’Étoile;Place Charles de Gaulle;;;;;;;;;;1;;
Le Motel;8 Passage Josset;;;1;;;;;;;;;
Le Bréguet;72 rue Falguière;;;1;;;;;;;;1;
Le Cosmos;133, Avenue Emile-Zola;;;1;;;;;;;;;
Raidd Bar;23 rue du Temple;;1;1;;;;;;;;;
Basilique Sainte-Clotilde;23 bis Rue Las Cases;;;;;;1;;1;;;;
Maison de Radio France;116 Avenue du Président Kennedy;;;;;;;;;;;;
6ème Arrondissement;6ème Arrondissement;;;;;;;;;;1;;
Théâtre Mogador;25 Rue de Mogador;;;;1;;;;;;;;
La Villette;Porte de Pantin;;;;;;;;;;1;;
Café Gambetta;81 Avenue Gambetta;;;1;;;;;;;;;
Sputnik;16 rue de la Butte-aux-Cailles;;;1;;;;;;;;;
La Miroiterie;88 Rue de Ménilmontant;;;;;;;;1;;;;
Café Francoeur;Rue Francoeur;;;1;;;;;;;;;
Église Saint-Eustache;2 Impasse Saint-Eustache;;;;;;1;;1;;;;
Etoile Pagode;57 bis rue de Babylone;;;;;;;;;;;;1
Place des Victoires;Place des Victoires;;;;;;;;;;1;;
Cafe Panis;21 quai de Montebello;;;1;;;;;;;;;
Unisex;32 Avenue des Champs-Élysees;;1;1;;;;;;;;;
Saint Séverin;3 Place Saint Michel;;1;1;;;;;;;;;
Le Mauri'7;46 rue du Faubourg Saint-Denis;;;1;;;;;;;;;
Shannon River;153 rue du Chevaleret;;1;1;;;;;;;;1;
Place de Clichy;Place de Clichy;;;;;;;;;;1;;
La Comédie-Française;1 Place Colette;;;;1;;;;;;;;
La Panfoulia;7 Rue Sainte-Croix de la Bretonnerie;;;1;;;;;;;;;
Street Art - Rue Dénoyez;Rue Dénoyez;;;;;;;;1;;;;
Le Troll Café;27 Rue de Cotte;;;1;;;;;;;;;
La Fourmi;74 Rue des Martyrs;;;1;;;;;;;;;
Espace Culturel Louis Vuitton;60 Rue de Bassano;;;;;;;;1;;;;
Autour du Moulin;88 rue Lepic;;;1;;;;;;;;;
Ecole du vin;48 rue Baron Le Roy;;;1;;;;;;;;;
Le Forvm;4 Boulevard Malesherbes;;1;1;;;;;;;;;
La Taverne de la Butte;13 rue de la Butte aux Cailles;;;1;;;;;;;;;
Café Lazar;61 rue Réaumur;;;1;;;;;;;;;
Extra Old Café;307 Rue du Faubourg Saint-Antoine;;;1;;;;;;;;;
Église Saint-Nicolas du Chardonnet;23 rue des Bernardins;;;;;;1;;1;;;;
Ferme Georges-Ville - Ferme de Paris;Bois de Vincennes;1;;;;;;;;;;;
Au Clair de Lune;1 Rue Ramey;;;1;;;;;;;;;
Café Léopard;149 boulevard Voltaire;;;1;;;;;;;;;
Wide Open Spaces Bar;184 rue Saint-Jacques;;1;1;;;;;;;;;
Le Merle Moqueur;11 Rue de la Butte aux Cailles;;;1;;;;;;;;;
La Cantine de Belleville;108 boulevard de Belleville;;;1;;;;;;;;;
Montparnasse 56;33 Avenue du Maine;;;;;;;;;;;1;
Place Cambronne;Place Cambronne;;;;;;;;;;1;;
Canal Saint-Martin;Quai de Valmy;1;;;;;;;;;1;;
Opéra Bastille;120 Rue de Lyon;;;;1;;;;1;;;;
La Place Verte;105 Rue Oberkampf;;;1;;;;;;;;;
La Goutte d'Or;Rue de la Goutte d'Or;;;;;;;;;;1;;
La Cave Café;134 Rue Marcadet;;;1;;;;;;;;;
Novotel Paris Vaugirard Montparnasse;257 rue de Vaugirard;;;;;;;;;;;;
Institut Suédois | Svenska Institutet i Paris;11 Rue Payenne;;;;;;;;1;1;;;
Udo Bar;4bis Rue Neuve Popincourt;;;1;;;;;;;;1;
La Féline;12 Rue Victor Letalle;;;1;1;1;;;;;;;
Hotel Concorde Montparnasse;40 Rue du Commandant René Mouchotte;;;;;;;;;;;;
Place de la Madeleine;Place de la Madeleine;;;;;;;;;;1;;
Le Bidule;194-198 Rue du Faubourg Saint-Antoine;;;1;;;;;;;;;
Café de Paris;158 rue Oberkampf;;;1;;;;;;;;;
L'Assassin;99 rue Jean-Pierre Timbaud;;;1;;;;;;;;;
L'Orange Mécanique;72 bis rue Jean-Pierre Timbaud;;;1;;;;;;;;;
Apérock Café;46, Boulevard Voltaire;;;1;;;;;;;;;
Prince de Galles, Paris;33 Avenue George V;;;;;;;;;;;;
Hotel du Cadran;10 rue du Champs de Mars;;;;;;;;;;;;
Porte de la Muette;Porte de la Muette;;;;;;;;;;1;;
MK2 Quai de Loire;7 Quai de la Loire;;;;;;;;;;;;1
The Financier;15 rue du Départ;;;1;;;;1;;;;;
Café Le Bastringue;67 quai de Seine;;;1;;;;;;;;;
Café Cosy;54, avenue de Saint-Mandé;;;1;;;;;;;;;
Point Éphémère;200 Quai de Valmy;;;1;;;;;;;;;
St James Club;43 Avenue Bugeaud;;;1;;;;;;;;;
Ménagerie du Jardin des Plantes;Jardin des Plantes;1;;;;;;;;;1;;
Le Réservoir;16 Rue de la Forge Royale;;1;1;1;1;;;;;;;
Terrass Hotel‎;12-14 rue Joseph-de-Maistre;;;;;;;;;;;1;
Les Caves Populaires;22 rue des Dames;;;1;;;;;;;;;
Ibis Tour Eiffel;2 rue Cambronne;;;;;;;;;;;;
BarOurcq;68 Quai de la Loire;;1;1;;;;;;;;;
Studio Harmonic;5 passage des Taillandiers;;;;;1;;;;;;;
Place du Châtelet;Place du Châtelet;;;;;;;;;;1;;
Pont de l'Alma;Pont de l'Alma;;;;;;;;;;1;;
Frog XVI;110 Bis Avenue Kléber;;1;1;1;;;;;;;1;
Le Sans Souci;65 Rue Jean-Baptiste Pigalle;;;1;;;;;;;;;
La Mouzaïa;Rue de Mouzaïa;;;;;;;;;;1;;
Fédération Nationale du Crédit Agricole;48 rue la Boétie;;;;1;;;;;;;;
Bar du Lutetia;45 boulevard Raspail;;;1;;;;;;;;;
Le drapeau de la fidelité;21 Rue Copreaux, 75015 Paris, Ile-de-France;;;1;;;;;;;;;
La Cantada II;13 rue Moret;;1;1;1;;;;;;;;
Marché Saint-Pierre;2 Rue Charles Nodier;;;;;;;;1;;;;
MadaM;128 rue La Boétie;;1;1;1;1;;;;;;;
Hôtel Fouquet's Barrière;46 Avenue George V;;;;;;;;;;;;
Le Diamant;56 rue des cinq diamants;;;1;;;;;;;;;
Terrasse Publicis;133 Avenue des Champs-Élysées;;;;;;;;;;;1;
Lac Inférieur;Chemin de ceinture du lac inférieur;1;;;;;;;;;1;;
Place de Mexico;Place de Mexico;;;;;;;;;;1;;
Pavillon de l'Arsenal;21 Boulevard Morland;;;;;;1;;;1;;;
Le Manoir;7, rue des Moines;;;1;;;;;;;;;
Crazy Horse;12 Avenue George V;;;;1;1;;;;;;;
Place Édith Piaf;Place Édith Piaf;;;;;;;;;;1;;
Crowne Plaza;10 place de la République;;;1;;;;;;;;1;
L'Alibi;11 rue Lapeyrère;;;1;;;;;;;;;
Murphy's House;10 Rue de la Chaussée d'Antin;;;1;;;;;;;;1;
Polo de Paris;Route des Moulins;;;;;;;1;;;;;
Piscine Pontoise & Fitness;17 Rue de Pontoise;;;;;;;1;;;;;
La Terrasse Bar;76, avenue de la Grande Armée;;;1;;;;;;;;;
Paris Orléans;129 avenue du Général Leclerc;;;1;;;;;;;;1;
The Wall;51 rue Lacépède;;;1;;;;;;;;;
Les Docks - Cité de la Mode et du Design;34 Quai d'Austerlitz;;;;;;;;1;;;;
Passerelle Léopold-Sédar-Senghor;Passerelle Solferino;;;;;;;;;;1;;
Jazz Club Etoile;81 Blvd. Gouvion Saint-Cyr;;1;1;1;;;;;;;;
Le Cyrano;3 rue Biot;;;1;;;;;;;;;
Peace & Love;245, rue Lafayette;;;;;;;;;;;;
Place Vauban;Place Vauban;;;;;;;;;;1;;
Le Baron;6 avenue Marceau;;1;1;1;1;;;;;;;
Le Bastille;5 rue du Faubourg Saint-Antoine;;;;1;;;;;;;;
Hippodrome d'Auteuil;57 Boulevard de Montmorency;;;;;;;1;;;;;
La Cagnotte;13 Rue Jean-Baptiste Dumay;;;1;;;;;;;;;
Jardin du Palais Royal;2 Place Colette;1;;;;;;;;;1;;
Bar La Vue;Hyatt Regency Paris Etoile (33e étage);;;1;;;;;;;;;
Celtic corner;88 rue de la Croix Nivert;;;1;;;;;;;;;
La Machine du Moulin Rouge;90 Boulevard de Clichy;;1;1;1;1;;;;;;;
Les Frigos;19 rue des Frigos;;;;;;;;1;;;;
La Tactique;19 rue Pascal;;;1;;;;;;;;1;
Place Victor Hugo;Place Victor Hugo;;;;;;;;;;1;;
Théâtre du Rond-Point;2 Avenue Franklin Delano Roosevelt;;;;1;;;;;;;;
Golf du Bois de Boulogne;Hippodrome de Lonchamp;;;;;;;1;;;;;
Tombe de Jim Morrison;Cimetière du Père Lachaise;;;;1;;1;;;;1;;
Hôtel Raphaël;17 avenue Kléber;;;;;;;;;;;;
Rue Myrha;Rue Myrha;;;;;;;;;;1;;
Rue des Abbesses;Rue des Abbesses;;;;;;;;;;1;;
Val Café;39 Boulevard du Port Royal;;;1;;;;;;;;;
Voulez-Vous;18 rue du Temple;;;1;;;;;;;;;
Café La Ruche;73 boulevard du Montparnasse;;;1;;;;;;;;;
Tombe d'Oscar Wilde;Cimetière du Père Lachaise;;;;;;1;;;;1;;
Pub Kleber;Avenue Kléber;;;1;;;;;;;1;;
L'Abribus Café;56 rue de Bagnolet;;1;1;;;;;;;;;
Chez Luna;108 rue Ménilmontant;;;1;;;;;;;;;
Le Redlight;34 Rue du Départ;;1;1;1;1;;;;;;;
Le Petit Garage;63 Rue Jean-Pierre Timbaud;;;1;;;;;;;;;
Piston Pélican;15 Rue de Bagnolet;;;1;;;;;;;;;
Place de la Contrescarpe;Place de la Contrescarpe;;;;;;;;;;1;;
Le Royal Cambronne;168 boulevard de Grenelle;;;1;;;;;;;;;
Stade Championnet;172 Rue Championnet;;;;;;;1;;;;;
Le Général Beuret;9 place du Général Beuret;;;1;;;;;;;;;
Les Rigoles;334 Rue des Pyrénées;;;1;;;;;;;;1;
Novotel Paris Porte d'Asnières;34 avenue de la Porte d’Asnières;;;;;;;;;;;1;
Royal Nation;Rue Philippe Auguste;;;1;;;;;;;;;
Sans Gène;112 rue Legendre;;;1;;;;;;;;1;
Cabaret Sauvage;Parc de la Villette;;1;;1;;;;;;;;
The Bowler;13, rue d'Artois;;;1;;;;;;;;1;
The Cork and Cavan;68/70 quai de Jemmapes;;;1;1;;;;;;;;
Point Bar les Batignolles;31 rue des Batignolles;;1;1;;;;;;;;1;
Terrasse des Galeries Lafayette;40 Boulevard Haussmann;;;;;;;;;;;;
Les 3 Baudets;64 boulevard de Clichy;;;;1;;;;;;;;
Pont de Bir-Hakeim;Pont de Bir-Hakeim;;;;;;;;;;1;;
Place des Ternes;Place des Ternes;;;;;;;;;;1;;
Some Girls Bar;43 Rue de Lappe;;;1;;;;;;;;;
Carmine Café;73 Ave. de Suffren;;;1;;;;;;;;1;
Place Saint-Ferdinand;Place Saint-Ferdinand;;;;;;;;;;1;;
Lac Daumesnil;Bois de Vincennes;1;;;;;;;;;1;;
le Vingtième;Place de la porte de bagnolet;;;1;;;;;;;;1;
Jardins du Carrousel;Jardins du Carrousel;1;;;;;;;;;1;;
Pont de la Tournelle;Pont de la Tournelle;;;;;;;;;;1;;
Jardin des Grands Explorateurs Marco Polo et Cavelier-de-la-Salle;Avenue de l'Observatoire;1;;;;;;;;;1;;
Piscine Roger Le Gall;34 bd Carnot;;;;;;;1;;;;;
Quai Saint-Bernard;Quai Saint-Bernard;;;;;;;;;;1;;
Pont Saint-Louis;Pont Saint-Louis;;;;;;;;;;1;;
Irène et Bernard;58 rue Gauthey;;;1;;;;;;;;;
Péniche Antipode;55 quai de la Seine;;;1;;;;;;;;;
L'Adresse - Musée de La Poste;34 boulevard de Vaugirard;;;;;;;;;1;;;
Galerie de Paléontologie et d'Anatomie comparée;Jardin des Plantes;;;;;;;;;1;;;
Hippodrome de Longchamp;Route des Tribunes;;;;;;;1;;;;;
Passage d'Enfer;Passage d'Enfer;;;;;;;;;;1;;
L'Ingenu;106 rue de Charonne;;;1;;;;;;;;1;
Hôtel de Sully;62 Rue Saint-Antoine;;;;;;1;;;;;;
Court Philippe Chatrier;Stade Roland-Garros;;;;;;;1;;;;;
Prohibido;34 Rue Durantin;;;1;;;;;;;;1;
Place Maubert;Place Maubert;;;;;;;;;;;;
Le Trabendo;211 Avenue Jean Jaurès;;;1;1;;;;;;;;
La Bicyclette café;5 Rue de Chaumont;;1;1;1;;;;;;;;
Porte d'Orléans;Place de 25 août 1944;;;;;;;;;;1;;
Fontaine des Innocents;Square des Innocents;;;;;;;;;;1;;
La Fine Mousse;6 avenue Jean Aicard;;;1;1;;;;;;;;
Court Suzanne Lenglen;Stade Roland-Garros;;;;;;;1;;;;;
Porte de Vincennes;Porte de Vincennes;;;;;;;;;;1;;
Court n°1;Stade Roland-Garros;;;;;;;1;;;;;
Studio Ferber;56 rue du capitaine Ferber;;;;1;;;;;;;;
Cour d'Honneur des Invalides;Hôtel des Invalides;;;;;;1;;1;1;;;
Carrefour de l'Odéon;Place Henri Mondor;;;;;;;;;;1;;
Place de l'Hôtel de Ville — Esplanade de la Libération;Place de l'Hôtel de Ville;;;;;;;;;;1;;
Quai de la Tournelle;Quai de la Tournelle;;;;;;;;;;1;;
Le Lakanal;2 avenue René Coty;;;1;;;;;;;;;
Basilique Notre-Dame-des-Victoires;Place des Petits Pères;;;;;;1;;1;;;;
Pont de la Concorde;Pont de la Concorde;;;;;;;;;;1;;
Île de Bercy;Route des Îles;;;;;;;;;;1;;
Parvis de Notre-Dame;Parvis de Notre-Dame;;;;;;;;;;1;;
James Hetfeeld's Pub;17 boulevard Poissonnière;;1;1;;;;;;;;;
Le Sentier;Rue Réaumur;;;;;;;;;;1;;
Court n°2;Roland Garros;;;;;;;1;;;;;
Mur de la Paix;Parc du Champs de Mars;;;;;;;;1;;;;
Café A;148 Rue du Faubourg Saint-Martin;;;1;;;;;;;;;
Hotel Powers;52 Rue François 1er;;;;;;;;;;;;
Place du 18 Juin 1940;Place du 18 Juin 1940;;;;;;;;;;1;;
La Butte aux Cailles;Rue de la Butte aux Cailles;;;;;;;;;;1;;
Les Bowlings Sympas;6, av de la Porte de la Chapelle;;;;;;;1;;;;;
Square de Clignancourt;Square de Clignancourt;1;;;;;;;;;1;;
La Vache au Comptoir;13 rue d'Odessa;;;1;;;;;;;;;
Aux Sportifs Réunis;75 Rue Brancion;;;;;;;;;;;1;
Au Rendez-Vous des Belges;Rue de Dunkerque;;;1;;;;;;;;;
Place Flora Tristan;Place Flora Tristan;;;;;;;;;;1;;
Place de la Porte de Saint-Cloud;Place de la Porte de Saint-Cloud;;;;;;;;;;1;;
École Militaire;Avenue de La Motte-Picquet;;;;;;;;;;;;
Le Marais;Le Marais;;;;;;;;;;1;;
L'Alchimie;20 Rue de l'Ouest;;;1;;;;;;;;;
Escaliers de Lamarck-Caulaincourt;Rue Lamarck;;;;;;;;;;1;;
Place du Docteur Félix Lobligeois;Place du Docteur Félix Lobligeois;;;;;;;;;;1;;
Église Saint-Paul Saint-Louis;99 Rue Saint-Antoine;;;;;;1;;1;;;;
15ème Arrondissement;15ème Arrondissement;;;;;;;;;;1;;
Pont d'Iéna;Pont d'Iéna;;;;;;;;;;1;;
Grand Café de la Poste;103 boulevard Malesherbes;;;1;;;;;;;;1;
Place Félix Eboué;Place Félix Eboué;;;;;;;;;;1;;
Utopia;79 rue de l'Ouest;;;1;1;;;;;;;;
Rue Mallet Stevens;Rue Mallet Stevens;;;;;;;;;;1;;
Porte de Champerret;Place de la Porte de Champerret;;;;;;;;;;1;;
La Seine;La Seine;;;;;;;;;;1;;
Saint-Germain-des-Prés;Boulevard Saint-Germain;;;;;;;;;;1;;
Hideout;8 boulevard de Denain;;1;1;;;;;;;;;
Ecole de Danse Latine;40 rue de Citeaux;;;;;;;;;;;;
American Cathedral in Paris;Cathédrale américaine de la Sainte-Trinité de Paris;;;;;;1;;1;;;;
Le Vingt Heures Vin;15-17 rue Joseph de Maistre;;;1;;;;;;;;;
Les Escaliers de Montmartre;Square Louise Michel;;;;;;;;;;1;;
Jardin des Invalides;Place Vauban;1;;;;;;;;;1;;
Place Raoul Dautry;Place Raoul Dautry;;;;;;;;;;1;;
Place Georges Pompidou;Place Georges Pompidou;;;;;;;;1;;1;;
Centre Sportif Suzanne Lenglen;Parc Suzanne Lenglen;;;;;;;1;;;;;
Église Saint-Séverin;3 rue des Prêtres Saint-Séverin;;;;;;1;;1;;;;
La Plage;41 Quai de l'Oise;;;1;;;;;;;;;
Le Centorial;16-18 rue du Quatre Septembre;;;;;;;;1;;;;
Rond-Point des Champs-Élysées — Marcel Dassault;Avenue des Champs-Élysées;;;;;;;;;;1;;
Canal de l'Ourcq;Quai de l'Oise;;;1;;;;;;;1;;
Le Relais Charbon;38 rue des Entrepreneurs;;;;;;;;;;;;
Porte Saint-Martin;Porte Saint-Martin;;;;;;1;;;;;;
Pont de Grenelle;Pont de Grenelle;;;;;;;;;;1;;
Église Saint-Étienne-du-Mont;Place Sainte-Geneviève;;;;;;1;;1;;;;
Rock & Roll Circus Bar;5 rue André Antoine;;;1;;;;;;;;;
Place Saint-Sulpice;Place Saint-Sulpice;;;;;;1;;;;1;;
Bacardi Mojito Lab;28 rue Keller;;;1;;;;;;;;;
Quai d'Orsay - Voie sur Berge;Quai d'Orsay;;;;;;;;;;1;;
Hillsong Paris;Bobino;;;;;;;;;;;;
Le Mozart;12 avenue Mozart;;;1;;;;;;;;;
Église Saint Julien Le Pauvre;79 Rue Galande;;;;;;1;;1;;;;
EIFFEL ParK;5 Avenue Silvestre de Sacy;;;1;;;;;;;;;
Chapelle notre dame;20 rue cortambert;;;;;;1;;1;;;;
Brasserie Les Spectacles;110-114 rue de Bercy;;;1;;;;;;;;1;
Cottage Élysée;14 Rue Lincoln;;;1;;;;;;;;;
L'Express de Lyon;1 Rue de Lyon;;;1;;;;;;;;;
Le Vin Cœur;4 avenue Carnot;;;1;;;;;;;;1;
Arcade Street;10 rue des Immeubles Industriels;;;;;;;;;;;;
Rue Chardon Lagache;Rue Chardon-Lagache;;;;;;;;;;;1;
Sud Radio;167 rue du Chevaleret;;;;;;;;;;;;
Le Siffleur de Ballons;34 rue de Cîteaux;;;1;;;;;;;;;
Dupont Versailles;386 rue de Vaugirard;;;1;;;;;;;;;
Le Zèbre dans le Patio;18 avenue de Flandre;;;1;;;;;;;;;
Pont de l'Archevêché;Pont de l'Archevêché;;;;;;;;;;;1;
Le Bouillon Belge;6 Rue Planchat;;;1;;;;;;;;;
Gambetta Club;104 rue de bagnolet;;;1;;;;;;;;;
Quartier Chinois du 13ème Arrondissement;Chinatown;;;;;;;;;;;1;
Bar Les Pirates;88 rue Oberkampf;;;1;;;;;;;;;
Place des Pyramides;Place des Pyramides;;;;;;;;1;;1;;
Galerie Itinerrance;7bis rue René Goscinny;;;;;;;;1;;;;
