business_id,phone_number,name,full_address,latitude,longitude,review_count,rating,timezone,website,place_id,place_link,price_level,city,is_claimed,verified,state,full_address_array,types,description,sunday_hours,monday_hours,tuesday_hours,wednesday_hours,thursday_hours,friday_hours,saturday_hours
"0x47e66f8c4441b621:0x9d545750b358b83e","","Republic Square Paris","Republic Square Paris, Pl. de la République, 75011 Paris","48.8676635","2.3640304","214","4.4","Europe/Paris","","ChIJIbZBRIxv5kcRPrhYs1BXVJ0","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66f8c4441b621:0x9d545750b358b83e","","Paris","false","false","","Pl. de la République | 75011 Paris","Tourist attraction","","","","","","","",""
"0x47e66e17a78a99a7:0xca71742efb26f07","","Oasis d'Aboukir","Oasis d'Aboukir, 83 Rue d'Aboukir, 75002 Paris","48.8681096","2.3476217999999998","71","4.5","Europe/Paris","https://www.murvegetalpatrickblanc.com/realisations/paris-ile-de-france/loasis-daboukir-paris","ChIJp5mKpxdu5kcRB2-y70IXpww","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66e17a78a99a7:0xca71742efb26f07","","Paris","false","false","","83 Rue d'Aboukir | 75002 Paris","Tourist attraction","","","","","","","",""
"0x47e66fedd01a0eef:0xf4449d165a538ec6","","Canal Saint Martin","Canal Saint Martin, square Frédérick-Lemaître, 35 Quai de Jemmapes, 75010 Paris","48.8689404","2.3671263","34","4.8","Europe/Paris","","ChIJ7w4a0O1v5kcRxo5TWhadRPQ","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66fedd01a0eef:0xf4449d165a538ec6","","Paris","false","false","","square Frédérick-Lemaître | 35 Quai de Jemmapes | 75010 Paris","Tourist attraction","","","","","","","",""
"0x47e671003d97f3ed:0x8a3986d3f8cda275","","Turtle de Seine","Turtle de Seine, 34 Quai d'Orléans, 75004 Paris","48.8522356","2.353461","16","4.6","Europe/Paris","","ChIJ7fOXPQBx5kcRdaLN-NOGOYo","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e671003d97f3ed:0x8a3986d3f8cda275","","Paris","false","false","","34 Quai d'Orléans | 75004 Paris","Tourist attraction","","","","","","","",""
"0x47e66f0040a0b71b:0xf637da636e90c233","","Turenne Enfant Statue","Turenne Enfant Statue, 111 Rue de Turenne, 75003 Paris","48.8625599","2.3645023","1","5","Europe/Paris","","ChIJG7egQABv5kcRM8KQbmPaN_Y","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66f0040a0b71b:0xf637da636e90c233","","Paris","false","false","","111 Rue de Turenne | 75003 Paris","Tourist attraction","","","","","","","",""
"0x47e66f000b93ca1d:0x6e42a3c33fc77456","","Rue du Temple","Rue du Temple, 75003 Paris","48.8625974","2.3576335999999998","","","Europe/Paris","","ChIJHcqTCwBv5kcRVnTHP8OjQm4","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66f000b93ca1d:0x6e42a3c33fc77456","","Paris","false","false","","75003 Paris","Tourist attraction","","","","","","","",""
"0x47e66fd83d837003:0x2e6558df4a6e3941","","Quai de Jemmape","Quai de Jemmape, 15 Rue de Lancry, 75010 Paris","48.869549","2.3603345","7","5","Europe/Paris","","ChIJA3CDPdhv5kcRQTluSt9YZS4","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66fd83d837003:0x2e6558df4a6e3941","","Paris","false","false","","15 Rue de Lancry | 75010 Paris","Tourist attraction","","","","","","","",""
"0x47e66f005d8bf52f:0x37ee8ff6f8b80889","","Public Free Water Tap","Public Free Water Tap, Rue Réaumur, 75003 Paris","48.8671772","2.3531760999999998","","","Europe/Paris","","ChIJL_WLXQBv5kcRiQi4-PaP7jc","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66f005d8bf52f:0x37ee8ff6f8b80889","","Paris","false","false","","Rue Réaumur | 75003 Paris","Tourist attraction","","","","","","","",""
"0x47e66f016ca35377:0x4f4c3453bf5bdcb5","","La Dame En Rouge","La Dame En Rouge, 93 Rue Vieille du Temple, 75003 Paris","48.8601214","2.3608683","2","4.5","Europe/Paris","","ChIJd1OjbAFv5kcRtdxbv1M0TE8","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66f016ca35377:0x4f4c3453bf5bdcb5","","Paris","false","false","","93 Rue Vieille du Temple | 75003 Paris","Tourist attraction","","","","","","","",""
"0x47e671ffe088e851:0x64d877a597074ca8","","Place des Vosges","Place des Vosges, Pl. des Vosges, 75004 Paris","48.8556114","2.3655266","31416","4.6","Europe/Paris","https://parisjetaime.com/transport/place-des-vosges-p1907","ChIJUeiI4P9x5kcRqEwHl6V32GQ","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e671ffe088e851:0x64d877a597074ca8","","Paris","false","true","","Pl. des Vosges | 75004 Paris","Tourist attraction | Park","17th-century square lined with houses | Oldest planned square in Paris, lined with trees and red brick houses, built by Henri IV in 1612. |  | t | t","","","","","","",""
